t,Isim,Qsim,Ssim,Hsim
0.000e+00,5.000e+00,5.000e+00,0.000e+00,0.000e+00
1.000e-02,5.062e+00,5.000e+00,6.180e-04,6.180e-04
2.000e-02,5.124e+00,5.000e+00,1.854e-03,1.854e-03
3.000e-02,5.185e+00,5.000e+00,3.708e-03,3.708e-03
4.000e-02,5.247e+00,5.000e+00,6.180e-03,6.180e-03
5.000e-02,5.309e+00,5.000e+00,9.270e-03,9.270e-03
6.000e-02,5.371e+00,5.000e+00,1.298e-02,1.298e-02
7.000e-02,5.433e+00,5.000e+00,1.730e-02,1.730e-02
8.000e-02,5.494e+00,5.000e+00,2.225e-02,2.225e-02
9.000e-02,5.556e+00,5.000e+00,2.781e-02,2.781e-02
1.000e-01,5.618e+00,5.000e+00,3.399e-02,3.399e-02
1.100e-01,5.674e+00,5.000e+00,4.073e-02,4.073e-02
1.200e-01,5.730e+00,5.000e+00,4.802e-02,4.802e-02
1.300e-01,5.785e+00,5.000e+00,5.588e-02,5.588e-02
1.400e-01,5.841e+00,5.000e+00,6.429e-02,6.429e-02
1.500e-01,5.897e+00,5.000e+00,7.326e-02,7.326e-02
1.600e-01,5.953e+00,5.000e+00,8.279e-02,8.279e-02
1.700e-01,6.009e+00,5.000e+00,9.287e-02,9.287e-02
1.800e-01,6.064e+00,5.000e+00,1.035e-01,1.035e-01
1.900e-01,6.120e+00,5.000e+00,1.147e-01,1.147e-01
2.000e-01,6.176e+00,5.000e+00,1.265e-01,1.265e-01
2.100e-01,6.220e+00,5.000e+00,1.387e-01,1.387e-01
2.200e-01,6.264e+00,5.000e+00,1.513e-01,1.513e-01
2.300e-01,6.309e+00,5.000e+00,1.644e-01,1.644e-01
2.400e-01,6.353e+00,5.000e+00,1.779e-01,1.779e-01
2.500e-01,6.397e+00,5.000e+00,1.919e-01,1.919e-01
2.600e-01,6.441e+00,5.000e+00,2.063e-01,2.063e-01
2.700e-01,6.485e+00,5.000e+00,2.212e-01,2.212e-01
2.800e-01,6.530e+00,5.000e+00,2.365e-01,2.365e-01
2.900e-01,6.574e+00,5.000e+00,2.522e-01,2.522e-01
3.000e-01,6.618e+00,5.000e+00,2.684e-01,2.684e-01
3.100e-01,6.646e+00,5.000e+00,2.849e-01,2.849e-01
3.200e-01,6.675e+00,5.000e+00,3.016e-01,3.016e-01
3.300e-01,6.703e+00,5.000e+00,3.186e-01,3.186e-01
3.400e-01,6.732e+00,5.000e+00,3.360e-01,3.360e-01
3.500e-01,6.760e+00,5.000e+00,3.536e-01,3.536e-01
3.600e-01,6.788e+00,5.000e+00,3.714e-01,3.714e-01
3.700e-01,6.817e+00,5.000e+00,3.896e-01,3.896e-01
3.800e-01,6.845e+00,5.000e+00,4.081e-01,4.081e-01
3.900e-01,6.874e+00,5.000e+00,4.268e-01,4.268e-01
4.000e-01,6.902e+00,5.000e+00,4.458e-01,4.458e-01
